fecha	tiempo	Lab-+X-W	Lab-+Y-W	Lab-+Z-W	Lab--X-W	Lab--Y-W	Lab--Z-W	Lab-Total-W	BOL-+X-W	BOL-+Y-W	BOL-+Z-W	BOL--X-W	BOL--Y-W	BOL--Z-W	BOL-Total-W
2026-11-13 02:21:00.000	0.000	0.774	0.184	0.000	0.000	0.000	0.913	3.743	0.716	0.171	0.000	0.000	0.000	0.845	3.464
2026-11-13 02:21:00.432	0.432	0.774	0.184	0.000	0.000	0.000	0.913	3.743	0.716	0.171	0.000	0.000	0.000	0.845	3.464
2026-11-13 02:21:00.863	0.864	0.773	0.184	0.000	0.000	0.000	0.914	3.743	0.716	0.171	0.000	0.000	0.000	0.846	3.464
2026-11-13 02:21:01.296	1.296	0.773	0.184	0.000	0.000	0.000	0.914	3.743	0.715	0.171	0.000	0.000	0.000	0.846	3.463
2026-11-13 02:21:01.728	1.728	0.772	0.184	0.000	0.000	0.000	0.915	3.743	0.715	0.171	0.000	0.000	0.000	0.846	3.463
2026-11-13 02:21:02.159	2.160	0.772	0.184	0.000	0.000	0.000	0.915	3.743	0.714	0.171	0.000	0.000	0.000	0.847	3.463
2026-11-13 02:21:02.592	2.592	0.772	0.184	0.000	0.000	0.000	0.915	3.743	0.714	0.171	0.000	0.000	0.000	0.847	3.463
2026-11-13 02:21:03.024	3.024	0.771	0.184	0.000	0.000	0.000	0.916	3.742	0.714	0.171	0.000	0.000	0.000	0.847	3.463
2026-11-13 02:21:03.455	3.456	0.771	0.184	0.000	0.000	0.000	0.916	3.742	0.713	0.171	0.000	0.000	0.000	0.848	3.463
2026-11-13 02:21:03.888	3.888	0.770	0.184	0.000	0.000	0.000	0.916	3.742	0.713	0.171	0.000	0.000	0.000	0.848	3.463
2026-11-13 02:21:04.320	4.320	0.770	0.184	0.000	0.000	0.000	0.917	3.742	0.712	0.171	0.000	0.000	0.000	0.848	3.463
2026-11-13 02:21:04.751	4.752	0.769	0.184	0.000	0.000	0.000	0.917	3.742	0.712	0.171	0.000	0.000	0.000	0.849	3.462
2026-11-13 02:21:05.184	5.184	0.769	0.184	0.000	0.000	0.000	0.917	3.742	0.712	0.171	0.000	0.000	0.000	0.849	3.462
2026-11-13 02:21:05.616	5.616	0.769	0.184	0.000	0.000	0.000	0.918	3.742	0.711	0.171	0.000	0.000	0.000	0.849	3.462
2026-11-13 02:21:06.047	6.048	0.768	0.184	0.000	0.000	0.000	0.918	3.741	0.711	0.171	0.000	0.000	0.000	0.850	3.462
2026-11-13 02:21:06.480	6.480	0.768	0.184	0.000	0.000	0.000	0.919	3.741	0.710	0.171	0.000	0.000	0.000	0.850	3.462
2026-11-13 02:21:06.911	6.912	0.767	0.184	0.000	0.000	0.000	0.919	3.741	0.710	0.171	0.000	0.000	0.000	0.850	3.462
2026-11-13 02:21:07.343	7.344	0.767	0.184	0.000	0.000	0.000	0.919	3.741	0.710	0.171	0.000	0.000	0.000	0.851	3.462
2026-11-13 02:21:07.776	7.776	0.766	0.184	0.000	0.000	0.000	0.920	3.741	0.709	0.171	0.000	0.000	0.000	0.851	3.461
2026-11-13 02:21:08.207	8.208	0.766	0.184	0.000	0.000	0.000	0.920	3.741	0.709	0.171	0.000	0.000	0.000	0.851	3.461
2026-11-13 02:21:08.639	8.640	0.766	0.184	0.000	0.000	0.000	0.920	3.741	0.708	0.171	0.000	0.000	0.000	0.852	3.461
2026-11-13 02:21:09.072	9.072	0.765	0.184	0.000	0.000	0.000	0.921	3.740	0.708	0.171	0.000	0.000	0.000	0.852	3.461
2026-11-13 02:21:09.503	9.504	0.765	0.184	0.000	0.000	0.000	0.921	3.740	0.708	0.171	0.000	0.000	0.000	0.852	3.461
2026-11-13 02:21:09.935	9.936	0.764	0.184	0.000	0.000	0.000	0.921	3.740	0.707	0.171	0.000	0.000	0.000	0.853	3.461
2026-11-13 02:21:10.368	10.368	0.764	0.184	0.000	0.000	0.000	0.922	3.740	0.707	0.171	0.000	0.000	0.000	0.853	3.461
2026-11-13 02:21:10.799	10.800	0.763	0.184	0.000	0.000	0.000	0.922	3.740	0.706	0.171	0.000	0.000	0.000	0.853	3.460
2026-11-13 02:21:11.231	11.232	0.763	0.184	0.000	0.000	0.000	0.923	3.740	0.706	0.171	0.000	0.000	0.000	0.854	3.460
2026-11-13 02:21:11.664	11.664	0.762	0.184	0.000	0.000	0.000	0.923	3.740	0.706	0.171	0.000	0.000	0.000	0.854	3.460
2026-11-13 02:21:12.095	12.096	0.762	0.184	0.000	0.000	0.000	0.923	3.739	0.705	0.171	0.000	0.000	0.000	0.854	3.460
2026-11-13 02:21:12.527	12.528	0.762	0.184	0.000	0.000	0.000	0.924	3.739	0.705	0.171	0.000	0.000	0.000	0.855	3.460
2026-11-13 02:21:12.960	12.960	0.761	0.184	0.000	0.000	0.000	0.924	3.739	0.704	0.171	0.000	0.000	0.000	0.855	3.460
2026-11-13 02:21:13.391	13.392	0.761	0.184	0.000	0.000	0.000	0.924	3.739	0.704	0.171	0.000	0.000	0.000	0.855	3.460
2026-11-13 02:21:13.824	13.824	0.760	0.184	0.000	0.000	0.000	0.925	3.739	0.704	0.171	0.000	0.000	0.000	0.856	3.460
2026-11-13 02:21:14.256	14.256	0.760	0.184	0.000	0.000	0.000	0.925	3.739	0.703	0.171	0.000	0.000	0.000	0.856	3.459
2026-11-13 02:21:14.687	14.688	0.759	0.184	0.000	0.000	0.000	0.925	3.738	0.703	0.171	0.000	0.000	0.000	0.856	3.459
2026-11-13 02:21:15.120	15.120	0.759	0.184	0.000	0.000	0.000	0.926	3.738	0.702	0.171	0.000	0.000	0.000	0.857	3.459
2026-11-13 02:21:15.552	15.552	0.759	0.184	0.000	0.000	0.000	0.926	3.738	0.702	0.171	0.000	0.000	0.000	0.857	3.459
2026-11-13 02:21:15.983	15.984	0.758	0.184	0.000	0.000	0.000	0.926	3.738	0.701	0.171	0.000	0.000	0.000	0.857	3.459
2026-11-13 02:21:16.416	16.416	0.758	0.184	0.000	0.000	0.000	0.927	3.738	0.701	0.171	0.000	0.000	0.000	0.858	3.459
